Participant,Order,Condition,Exercise,Reps,Checkpoint,Deviation,Assessment
6,MU,M,BC,2,1,93,92
6,MU,M,BC,2,2,92,92
6,MU,M,BC,3,1,80,86
6,MU,M,BC,3,2,92,86
6,MU,M,BC,4,1,85,88
6,MU,M,BC,4,2,92,88
6,MU,M,BC,5,1,83,87
6,MU,M,BC,5,2,92,87
6,MU,M,SS,1,1,74,83
6,MU,M,SS,1,2,91,83
6,MU,M,SS,2,1,95,93
6,MU,M,SS,2,2,91,93
6,MU,M,SS,3,1,97,95
6,MU,M,SS,3,2,93,95
6,MU,M,SS,4,1,95,94
6,MU,M,SS,4,2,93,94
6,MU,M,SS,5,1,95,94
6,MU,M,SS,5,2,92,94
6,MU,U,SS,1,1,92,92
6,MU,U,SS,1,2,92,92
6,MU,U,SS,2,1,95,93
6,MU,U,SS,2,2,90,93
6,MU,U,SS,3,1,95,93
6,MU,U,SS,3,2,90,93
6,MU,U,SS,4,1,95,93
6,MU,U,SS,4,2,91,93
6,MU,U,SS,5,1,96,93
6,MU,U,SS,5,2,90,93
6,MU,U,RG,1,1,0,0
6,MU,U,RG,1,2,0,0
6,MU,U,RG,1,3,0,0
6,MU,U,RG,1,4,0,0
6,MU,U,RG,1,5,0,0
6,MU,U,RG,1,6,0,0
6,MU,U,RG,2,1,0,0
6,MU,U,RG,2,2,0,0
6,MU,U,RG,2,3,0,0
6,MU,U,RG,2,4,0,0
6,MU,U,RG,2,5,0,0
6,MU,U,RG,2,6,0,0
6,MU,U,RG,3,1,0,0
6,MU,U,RG,3,2,0,0
6,MU,U,RG,3,3,0,0
6,MU,U,RG,3,4,0,0
6,MU,U,RG,3,5,0,0
6,MU,U,RG,3,6,0,0
6,MU,U,RG,4,1,0,0
6,MU,U,RG,4,2,0,0
6,MU,U,RG,4,3,0,0
6,MU,U,RG,4,4,0,0
6,MU,U,RG,4,5,0,0
6,MU,U,RG,4,6,0,0
6,MU,U,RG,5,1,66,80
6,MU,U,RG,5,2,76,80
6,MU,U,RG,5,3,95,80
6,MU,U,RG,5,4,76,80
6,MU,U,RG,5,5,25,80
6,MU,U,RG,5,6,85,80
6,MU,U,BC,1,1,72,82
6,MU,U,BC,1,2,92,82
6,MU,U,BC,2,1,80,86
6,MU,U,BC,2,2,92,86
6,MU,U,BC,3,1,75,83
6,MU,U,BC,3,2,92,83
6,MU,U,BC,4,1,77,85
6,MU,U,BC,4,2,92,85
6,MU,U,BC,5,1,86,89
6,MU,U,BC,5,2,92,89
7,UM,U,RG,1,1,0,0
7,UM,U,RG,1,2,0,0
7,UM,U,RG,1,3,0,0
7,UM,U,RG,1,4,0,0
7,UM,U,RG,1,5,0,0
7,UM,U,RG,1,6,0,0
7,UM,U,RG,2,1,0,0
7,UM,U,RG,2,2,0,0
7,UM,U,RG,2,3,0,0
7,UM,U,RG,2,4,0,0
7,UM,U,RG,2,5,0,0
7,UM,U,RG,2,6,0,0
7,UM,U,RG,3,1,0,0
7,UM,U,RG,3,2,0,0
7,UM,U,RG,3,3,0,0
7,UM,U,RG,3,4,0,0
7,UM,U,RG,3,5,0,0
7,UM,U,RG,3,6,0,0
7,UM,U,RG,4,1,0,0
7,UM,U,RG,4,2,0,0
7,UM,U,RG,4,3,0,0
7,UM,U,RG,4,4,0,0
7,UM,U,RG,4,5,0,0
7,UM,U,RG,4,6,0,0
7,UM,U,RG,5,1,0,0
7,UM,U,RG,5,2,0,0
7,UM,U,RG,5,3,0,0
7,UM,U,RG,5,4,0,0
7,UM,U,RG,5,5,0,0
7,UM,U,RG,5,6,0,0
7,UM,U,BC,1,1,66,82
7,UM,U,BC,1,2,98,82
7,UM,U,BC,2,1,75,87
7,UM,U,BC,2,2,98,87
7,UM,U,BC,3,1,77,84
7,UM,U,BC,3,2,92,84
7,UM,U,BC,4,1,84,88
7,UM,U,BC,4,2,92,88
7,UM,U,BC,5,1,77,84
7,UM,U,BC,5,2,92,84
7,UM,U,SS,1,1,95,97
7,UM,U,SS,1,2,98,97
7,UM,U,SS,2,1,95,96
7,UM,U,SS,2,2,96,96
7,UM,U,SS,3,1,95,96
7,UM,U,SS,3,2,97,96
7,UM,U,SS,4,1,95,94
7,UM,U,SS,4,2,93,94
7,UM,U,SS,5,1,95,96
7,UM,U,SS,5,2,96,96
7,UM,M,SS,1,1,95,97
7,UM,M,SS,1,2,99,97
7,UM,M,SS,2,1,95,96
7,UM,M,SS,2,2,96,96
7,UM,M,SS,3,1,95,95
7,UM,M,SS,3,2,96,95
7,UM,M,SS,4,1,95,96
7,UM,M,SS,4,2,96,96
7,UM,M,SS,5,1,97,97
7,UM,M,SS,5,2,98,97
7,UM,M,RG,1,1,0,0
7,UM,M,RG,1,2,0,0
7,UM,M,RG,1,3,0,0
7,UM,M,RG,1,4,0,0
7,UM,M,RG,1,5,0,0
7,UM,M,RG,1,6,0,0
7,UM,M,RG,2,1,0,0
7,UM,M,RG,2,2,0,0
7,UM,M,RG,2,3,0,0
7,UM,M,RG,2,4,0,0
7,UM,M,RG,2,5,0,0
7,UM,M,RG,2,6,0,0
7,UM,M,RG,3,1,0,0
7,UM,M,RG,3,2,0,0
7,UM,M,RG,3,3,0,0
7,UM,M,RG,3,4,0,0
7,UM,M,RG,3,5,0,0
7,UM,M,RG,3,6,0,0
7,UM,M,RG,4,1,0,0
7,UM,M,RG,4,2,0,0
7,UM,M,RG,4,3,0,0
7,UM,M,RG,4,4,0,0
7,UM,M,RG,4,5,0,0
7,UM,M,RG,4,6,0,0
7,UM,M,RG,5,1,0,0
7,UM,M,RG,5,2,0,0
7,UM,M,RG,5,3,0,0
7,UM,M,RG,5,4,0,0
7,UM,M,RG,5,5,0,0
7,UM,M,RG,5,6,0,0
7,UM,M,BC,1,1,91,94
7,UM,M,BC,1,2,98,94
7,UM,M,BC,2,1,97,98
7,UM,M,BC,2,2,98,98
7,UM,M,BC,3,1,99,99
7,UM,M,BC,3,2,98,99
7,UM,M,BC,4,1,95,96
7,UM,M,BC,4,2,98,96
7,UM,M,BC,5,1,99,99
7,UM,M,BC,5,2,98,99
8,MU,M,RG,1,1,0,0
8,MU,M,RG,1,2,0,0
8,MU,M,RG,1,3,0,0
8,MU,M,RG,1,4,0,0
8,MU,M,RG,1,5,0,0
8,MU,M,RG,1,6,0,0
8,MU,M,RG,2,1,0,0
8,MU,M,RG,2,2,0,0
8,MU,M,RG,2,3,0,0
8,MU,M,RG,2,4,0,0
8,MU,M,RG,2,5,0,0
8,MU,M,RG,2,6,0,0
8,MU,M,RG,3,1,0,0
8,MU,M,RG,3,2,0,0
8,MU,M,RG,3,3,0,0
8,MU,M,RG,3,4,0,0
8,MU,M,RG,3,5,0,0
8,MU,M,RG,3,6,0,0
8,MU,M,RG,4,1,0,0
8,MU,M,RG,4,2,0,0
8,MU,M,RG,4,3,0,0
8,MU,M,RG,4,4,0,0
8,MU,M,RG,4,5,0,0
8,MU,M,RG,4,6,0,0
8,MU,M,RG,5,1,0,0
8,MU,M,RG,5,2,0,0
8,MU,M,RG,5,3,0,0
8,MU,M,RG,5,4,0,0
8,MU,M,RG,5,5,0,0
8,MU,M,RG,5,6,0,0
8,MU,M,BC,1,1,81,86
8,MU,M,BC,1,2,92,86
8,MU,M,BC,2,1,79,85
8,MU,M,BC,2,2,92,85
8,MU,M,BC,3,1,84,88
8,MU,M,BC,3,2,92,88
8,MU,M,BC,4,1,78,88
8,MU,M,BC,4,2,99,88
8,MU,M,BC,5,1,75,87
8,MU,M,BC,5,2,99,87
8,MU,M,SS,1,1,95,66
8,MU,M,SS,1,2,36,66
8,MU,M,SS,2,1,0,0
8,MU,M,SS,2,2,0,0
8,MU,M,SS,3,1,95,95
8,MU,M,SS,3,2,95,95
8,MU,M,SS,4,1,0,0
8,MU,M,SS,4,2,0,0
8,MU,M,SS,5,1,0,0
8,MU,M,SS,5,2,0,0
8,MU,U,SS,1,1,95,96
8,MU,U,SS,1,2,97,96
8,MU,U,SS,2,1,96,96
8,MU,U,SS,2,2,96,96
8,MU,U,SS,3,1,95,95
8,MU,U,SS,3,2,94,95
8,MU,U,SS,4,1,92,94
8,MU,U,SS,4,2,96,94
8,MU,U,SS,5,1,95,96
8,MU,U,SS,5,2,97,96
8,MU,U,RG,1,1,0,0
8,MU,U,RG,1,2,0,0
8,MU,U,RG,1,3,0,0
8,MU,U,RG,1,4,0,0
8,MU,U,RG,1,5,0,0
8,MU,U,RG,1,6,0,0
8,MU,U,RG,2,1,0,0
8,MU,U,RG,2,2,0,0
8,MU,U,RG,2,3,0,0
8,MU,U,RG,2,4,0,0
8,MU,U,RG,2,5,0,0
8,MU,U,RG,2,6,0,0
8,MU,U,RG,3,1,0,0
8,MU,U,RG,3,2,0,0
8,MU,U,RG,3,3,0,0
8,MU,U,RG,3,4,0,0
8,MU,U,RG,3,5,0,0
8,MU,U,RG,3,6,0,0
8,MU,U,RG,4,1,0,0
8,MU,U,RG,4,2,0,0
8,MU,U,RG,4,3,0,0
8,MU,U,RG,4,4,0,0
8,MU,U,RG,4,5,0,0
8,MU,U,RG,4,6,0,0
8,MU,U,RG,5,1,0,0
8,MU,U,RG,5,2,0,0
8,MU,U,RG,5,3,0,0
8,MU,U,RG,5,4,0,0
8,MU,U,RG,5,5,0,0
8,MU,U,RG,5,6,0,0
8,MU,U,BC,1,1,77,84
8,MU,U,BC,1,2,92,84
8,MU,U,BC,2,1,77,84
8,MU,U,BC,2,2,92,84
8,MU,U,BC,3,1,54,73
8,MU,U,BC,3,2,92,73
8,MU,U,BC,4,1,75,83
8,MU,U,BC,4,2,92,83
8,MU,U,BC,5,1,86,89
8,MU,U,BC,5,2,92,89
9,UM,U,RG,1,1,0,0
9,UM,U,RG,1,2,0,0
9,UM,U,RG,1,3,0,0
9,UM,U,RG,1,4,0,0
9,UM,U,RG,1,5,0,0
9,UM,U,RG,1,6,0,0
9,UM,U,RG,2,1,0,0
9,UM,U,RG,2,2,0,0
9,UM,U,RG,2,3,0,0
9,UM,U,RG,2,4,0,0
9,UM,U,RG,2,5,0,0
9,UM,U,RG,2,6,0,0
9,UM,U,RG,3,1,0,0
9,UM,U,RG,3,2,0,0
9,UM,U,RG,3,3,0,0
9,UM,U,RG,3,4,0,0
9,UM,U,RG,3,5,0,0
9,UM,U,RG,3,6,0,0
9,UM,U,RG,4,1,0,0
9,UM,U,RG,4,2,0,0
9,UM,U,RG,4,3,0,0
9,UM,U,RG,4,4,0,0
9,UM,U,RG,4,5,0,0
9,UM,U,RG,4,6,0,0
9,UM,U,RG,5,1,0,0
9,UM,U,RG,5,2,0,0
9,UM,U,RG,5,3,0,0
9,UM,U,RG,5,4,0,0
9,UM,U,RG,5,5,0,0
9,UM,U,RG,5,6,0,0
9,UM,U,BC,1,1,0,0
9,UM,U,BC,1,2,0,0
9,UM,U,BC,2,1,0,0
9,UM,U,BC,2,2,0,0
9,UM,U,BC,3,1,0,0
9,UM,U,BC,3,2,0,0
9,UM,U,BC,4,1,0,0
9,UM,U,BC,4,2,0,0
9,UM,U,BC,5,1,0,0
9,UM,U,BC,5,2,0,0
9,UM,U,SS,1,1,87,85
9,UM,U,SS,1,2,84,85
9,UM,U,SS,2,1,75,79
9,UM,U,SS,2,2,82,79
9,UM,U,SS,3,1,98,89
9,UM,U,SS,3,2,80,89
9,UM,U,SS,4,1,95,89
9,UM,U,SS,4,2,83,89
9,UM,U,SS,5,1,92,89
9,UM,U,SS,5,2,85,89
9,UM,M,SS,1,1,98,91
9,UM,M,SS,1,2,85,91
9,UM,M,SS,2,1,98,90
9,UM,M,SS,2,2,82,90
9,UM,M,SS,3,1,98,90
9,UM,M,SS,3,2,83,90
9,UM,M,SS,4,1,98,90
9,UM,M,SS,4,2,83,90
9,UM,M,SS,5,1,95,89
9,UM,M,SS,5,2,82,89
9,UM,M,RG,1,1,0,0
9,UM,M,RG,1,2,0,0
9,UM,M,RG,1,3,0,0
9,UM,M,RG,1,4,0,0
9,UM,M,RG,1,5,0,0
9,UM,M,RG,1,6,0,0
9,UM,M,RG,2,1,0,0
9,UM,M,RG,2,2,0,0
9,UM,M,RG,2,3,0,0
9,UM,M,RG,2,4,0,0
9,UM,M,RG,2,5,0,0
9,UM,M,RG,2,6,0,0
9,UM,M,RG,3,1,0,0
9,UM,M,RG,3,2,0,0
9,UM,M,RG,3,3,0,0
9,UM,M,RG,3,4,0,0
9,UM,M,RG,3,5,0,0
9,UM,M,RG,3,6,0,0
9,UM,M,RG,4,1,0,0
9,UM,M,RG,4,2,0,0
9,UM,M,RG,4,3,0,0
9,UM,M,RG,4,4,0,0
9,UM,M,RG,4,5,0,0
9,UM,M,RG,4,6,0,0
9,UM,M,RG,5,1,0,0
9,UM,M,RG,5,2,0,0
9,UM,M,RG,5,3,0,0
9,UM,M,RG,5,4,0,0
9,UM,M,RG,5,5,0,0
9,UM,M,RG,5,6,0,0
9,UM,M,BC,1,1,83,88
9,UM,M,BC,1,2,93,88
9,UM,M,BC,2,1,88,90
9,UM,M,BC,2,2,93,90
9,UM,M,BC,3,1,95,94
9,UM,M,BC,3,2,93,94
9,UM,M,BC,4,1,91,92
9,UM,M,BC,4,2,93,92
9,UM,M,BC,5,1,96,94
9,UM,M,BC,5,2,91,94
10,UM,M,RG,1,1,0,0
10,UM,M,RG,1,2,0,0
10,UM,M,RG,1,3,0,0
10,UM,M,RG,1,4,0,0
10,UM,M,RG,1,5,0,0
10,UM,M,RG,1,6,0,0
10,UM,M,RG,2,1,0,0
10,UM,M,RG,2,2,0,0
10,UM,M,RG,2,3,0,0
10,UM,M,RG,2,4,0,0
10,UM,M,RG,2,5,0,0
10,UM,M,RG,2,6,0,0
10,UM,M,RG,3,1,0,0
10,UM,M,RG,3,2,0,0
10,UM,M,RG,3,3,0,0
10,UM,M,RG,3,4,0,0
10,UM,M,RG,3,5,0,0
10,UM,M,RG,3,6,0,0
10,UM,M,RG,4,1,0,0
10,UM,M,RG,4,2,0,0
10,UM,M,RG,4,3,0,0
10,UM,M,RG,4,4,0,0
10,UM,M,RG,4,5,0,0
10,UM,M,RG,4,6,0,0
10,UM,M,RG,5,1,0,0
10,UM,M,RG,5,2,0,0
10,UM,M,RG,5,3,0,0
10,UM,M,RG,5,4,0,0
10,UM,M,RG,5,5,0,0
10,UM,M,RG,5,6,0,0
10,MU,M,BC,1,1,64,78
10,MU,M,BC,1,2,95,78
10,MU,M,BC,2,1,65,80
10,MU,M,BC,2,2,95,80
10,MU,M,BC,3,1,70,81
10,MU,M,BC,3,2,92,81
10,MU,M,BC,4,1,71,83
10,MU,M,BC,4,2,95,83
10,MU,M,BC,5,1,74,83
10,MU,M,BC,5,2,92,83
10,MU,M,SS,1,1,95,92
10,MU,M,SS,1,2,89,92
10,MU,M,SS,2,1,95,92
10,MU,M,SS,2,2,89,92
10,MU,M,SS,3,1,95,93
10,MU,M,SS,3,2,90,93
10,MU,M,SS,4,1,95,92
10,MU,M,SS,4,2,88,92
10,MU,M,SS,5,1,95,94
10,MU,M,SS,5,2,93,94
10,MU,U,SS,1,1,94,89
10,MU,U,SS,1,2,84,89
10,MU,U,SS,2,1,97,92
10,MU,U,SS,2,2,86,92
10,MU,U,SS,3,1,97,92
10,MU,U,SS,3,2,87,92
10,MU,U,SS,4,1,95,90
10,MU,U,SS,4,2,85,90
10,MU,U,SS,5,1,95,91
10,MU,U,SS,5,2,86,91
10,MU,U,RG,1,1,0,0
10,MU,U,RG,1,2,0,0
10,MU,U,RG,1,3,0,0
10,MU,U,RG,1,4,0,0
10,MU,U,RG,1,5,0,0
10,MU,U,RG,1,6,0,0
10,MU,U,RG,2,1,0,0
10,MU,U,RG,2,2,0,0
10,MU,U,RG,2,3,0,0
10,MU,U,RG,2,4,0,0
10,MU,U,RG,2,5,0,0
10,MU,U,RG,2,6,0,0
10,MU,U,RG,3,1,0,0
10,MU,U,RG,3,2,0,0
10,MU,U,RG,3,3,0,0
10,MU,U,RG,3,4,0,0
10,MU,U,RG,3,5,0,0
10,MU,U,RG,3,6,0,0
10,MU,U,RG,4,1,0,0
10,MU,U,RG,4,2,0,0
10,MU,U,RG,4,3,0,0
10,MU,U,RG,4,4,0,0
10,MU,U,RG,4,5,0,0
10,MU,U,RG,4,6,0,0
10,MU,U,RG,5,1,0,0
10,MU,U,RG,5,2,0,0
10,MU,U,RG,5,3,0,0
10,MU,U,RG,5,4,0,0
10,MU,U,RG,5,5,0,0
10,MU,U,RG,5,6,0,0
10,MU,U,BC,1,1,0,0
10,MU,U,BC,1,2,0,0
10,MU,U,BC,2,1,0,0
10,MU,U,BC,2,2,0,0
10,MU,U,BC,3,1,0,0
10,MU,U,BC,3,2,0,0
10,MU,U,BC,4,1,0,0
10,MU,U,BC,4,2,0,0
10,MU,U,BC,5,1,0,0
10,MU,U,BC,5,2,0,0
